Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2024-09-11,29.533480516504632,29.588232830499326,28.837379330003944,29.165878295898438,32907000,0.0,0.0,PETR4.SA
2024-09-12,29.165880351967292,29.18934349989426,28.74352578759223,28.83738136291504,22103300,0.0,0.0,PETR4.SA
2024-09-13,29.025088331829387,29.369227345466307,28.618376961014366,28.70441246032715,34729600,0.0,0.0,PETR4.SA
2024-09-16,29.126770037561975,29.502195269965675,29.06419767368743,29.103303909301758,22614800,0.0,0.0,PETR4.SA
2024-09-17,29.07202016786672,29.087663260148545,28.704417941895585,28.97034454345703,23443700,0.0,0.0,PETR4.SA
2024-09-18,28.868664969877116,28.884308061635732,28.274242401123047,28.274242401123047,38777000,0.0,0.0,PETR4.SA
2024-09-19,28.602737708965865,28.766985693172014,28.305524939725256,28.36809730529785,25059700,0.0,0.0,PETR4.SA
2024-09-20,28.36809830633462,28.469776912170758,28.211670370497803,28.360275268554688,48336200,0.0,0.0,PETR4.SA
2024-09-23,28.461955516658485,28.90777322016773,28.3289937028748,28.649669647216797,28218500,0.0,0.0,PETR4.SA
2024-09-24,29.11894316629449,29.181515521930383,28.720054841765144,28.76698112487793,35104100,0.0,0.0,PETR4.SA
2024-09-25,29.017269001927414,29.27537553283528,28.90777034649302,28.97816276550293,38655300,0.0,0.0,PETR4.SA
2024-09-26,28.876485291666125,28.876485291666125,28.13345781973852,28.352455139160156,58048200,0.0,0.0,PETR4.SA
2024-09-27,28.454135346009014,28.454135346009014,28.102173217406747,28.242958068847656,34537400,0.0,0.0,PETR4.SA
2024-09-30,28.282061300356354,28.375916863460986,28.094347190532538,28.16473960876465,21146300,0.0,0.0,PETR4.SA
2024-10-01,28.164738760536018,29.345766743793412,28.023956911926234,28.915592193603516,49748200,0.0,0.0,PETR4.SA
2024-10-02,29.525658992014073,29.66644382987046,29.212803133752196,29.314481735229492,32014500,0.0,0.0,PETR4.SA
2024-10-03,29.283198445532317,29.75248227928512,29.10330735352562,29.674266815185547,31033000,0.0,0.0,PETR4.SA
2024-10-04,29.83851369237593,29.87761992723748,29.463085483584543,29.596050262451172,22526800,0.0,0.0,PETR4.SA
2024-10-07,29.7524784311065,30.01840500742041,29.642979779144508,30.010581970214844,36418000,0.0,0.0,PETR4.SA
2024-10-08,29.306664825331392,29.52566215943934,29.291021732378695,29.408340454101562,34142000,0.0,0.0,PETR4.SA
2024-10-09,29.22844656389097,29.34576825800301,28.946876884913777,29.111127853393555,30789800,0.0,0.0,PETR4.SA
2024-10-10,29.251910760908764,29.51783733086664,29.18933839921777,29.447444915771484,20630100,0.0,0.0,PETR4.SA
2024-10-11,29.408337621444694,29.447446841866828,29.18934030843091,29.423980712890625,16343000,0.0,0.0,PETR4.SA
2024-10-14,29.306664085418475,29.64298311637306,29.212805530071964,29.494375228881836,22279000,0.0,0.0,PETR4.SA
2024-10-15,29.103307089394306,29.25973503255889,28.98598836973201,29.251914978027344,28204600,0.0,0.0,PETR4.SA
2024-10-16,29.36923048853953,29.392696616799746,29.08766081833312,29.103303909301758,23041200,0.0,0.0,PETR4.SA
2024-10-17,29.103303255390784,29.103303255390784,28.696591850188057,28.884305953979492,22174300,0.0,0.0,PETR4.SA
2024-10-18,28.92341574928899,28.993808173924524,28.477598054468874,28.80609703063965,32000800,0.0,0.0,PETR4.SA
2024-10-21,28.93905765928071,28.97816389723247,28.313348901208393,28.352455139160156,28390000,0.0,0.0,PETR4.SA
2024-10-22,28.31335049456811,28.39156297487311,28.149102495758676,28.242958068847656,29144300,0.0,0.0,PETR4.SA
2024-10-23,28.08653112432053,28.10999427252419,27.820604504757434,27.8909969329834,30769100,0.0,0.0,PETR4.SA
2024-10-24,28.039601331585985,28.180386185463625,27.812783941329723,28.078710556030273,23058900,0.0,0.0,PETR4.SA
2024-10-25,28.12563452122352,28.540168993790186,28.039599008358465,28.274242401123047,32585900,0.0,0.0,PETR4.SA
2024-10-28,27.75803503824464,28.258602089304976,27.64071333032082,28.22731590270996,27507100,0.0,0.0,PETR4.SA
2024-10-29,28.415026083067925,28.48541551768548,28.000491627427905,28.16473960876465,26090200,0.0,0.0,PETR4.SA
2024-10-30,28.250773802479006,28.44630795694946,28.039596557617188,28.039596557617188,26144700,0.0,0.0,PETR4.SA
2024-10-31,28.055244499232163,28.19602935348411,27.86753334930619,28.086530685424805,25597000,0.0,0.0,PETR4.SA
2024-11-01,28.313350077721637,28.44631188900557,27.60942583088071,27.70328140258789,30605300,0.0,0.0,PETR4.SA
2024-11-04,28.07870590922826,28.117812143585848,27.671994507957567,27.765850067138672,24003600,0.0,0.0,PETR4.SA
2024-11-05,27.765856540217193,27.84406902716612,27.39825128760396,27.679821014404297,23990600,0.0,0.0,PETR4.SA
2024-11-06,27.413893389504,27.73456934817233,27.406073334538195,27.68764305114746,28440800,0.0,0.0,PETR4.SA
2024-11-07,27.758030089638932,28.07088294896983,27.585959077657556,27.773670196533203,34081200,0.0,0.0,PETR4.SA
2024-11-08,28.039600055767263,28.40720526678983,27.797139583488367,28.297706604003906,49865100,0.0,0.0,PETR4.SA
2024-11-11,28.149100911642165,28.485416944919088,28.078708489883113,28.352455139160156,21446300,0.0,0.0,PETR4.SA
2024-11-12,28.4384883140411,29.025090785919456,28.42284522342394,28.884305953979492,39412300,0.0,0.0,PETR4.SA
2024-11-13,28.89995082102774,28.99380638688537,28.571451865104066,28.84520149230957,34090000,0.0,0.0,PETR4.SA
2024-11-14,28.87648648555094,29.197165407411948,28.829560191514563,29.150236129760742,30262100,0.0,0.0,PETR4.SA
2024-11-18,29.095482187763167,29.95583125641808,29.095482187763167,29.87761878967285,39004100,0.0,0.0,PETR4.SA
2024-11-19,29.799404415148302,29.95583233790056,29.4474453184738,29.56476402282715,26002700,0.0,0.0,PETR4.SA
2024-11-21,29.697731889093923,29.82287364358378,29.369232918798815,29.650802612304688,36048400,0.0,0.0,PETR4.SA
2024-11-22,30.276505205906847,31.152500292177017,30.088794104287643,30.83182144165039,85234900,0.0,0.0,PETR4.SA
2024-11-25,30.80054146407961,31.175966690143397,30.620650396399952,30.644113540649414,41119500,0.0,0.0,PETR4.SA
2024-11-26,30.7848963199628,30.902215016999207,30.550255942275715,30.605005264282227,35188200,0.0,0.0,PETR4.SA
2024-11-27,30.65975808608673,30.78489983404567,30.30779598757264,30.49551010131836,30600700,0.0,0.0,PETR4.SA
2024-11-28,30.354724444791053,30.737969732267295,30.01840544677706,30.182653427124023,33113500,0.0,0.0,PETR4.SA
2024-11-29,30.11226352064967,30.675402910078294,30.041871096971093,30.425119400024414,44011700,0.0,0.0,PETR4.SA
2024-12-02,30.425120871651178,30.816189247977725,30.323442258394095,30.620655059814453,31711800,0.0,0.0,PETR4.SA
2024-12-03,30.81618336136814,30.89439582824707,30.565899887018325,30.89439582824707,22536200,0.0,0.0,PETR4.SA
2024-12-04,30.894401987646795,31.175971698330322,30.487690514838917,30.698867797851562,31584400,0.0,0.0,PETR4.SA
2024-12-05,30.80836633896992,31.13686532794312,30.667581484212107,31.0039005279541,25214200,0.0,0.0,PETR4.SA
2024-12-06,31.00389829777441,31.050827573856267,30.472045103305618,30.52679443359375,31118500,0.0,0.0,PETR4.SA
